




                              Registered Voters             Ballots Cast                  Voter Turnout                 
Union District 17             1042                          104                           104                           107                           107                           0                             0                             211                           
Union District 18             611                           100                           100                           89                            89                            0                             0                             189                           
Union District 19             635                           46                            46                            45                            45                            0                             0                             91                            
Union District 20             537                           59                            59                            54                            54                            0                             0                             113                           
Union District 21             743                           62                            62                            61                            61                            0                             0                             123                           
Union District 22             869                           108                           108                           95                            95                            0                             0                             203                           
Union District 23             812                           56                            56                            56                            56                            0                             0                             112                           
Union District 24             812                           66                            66                            73                            73                            0                             0                             139                           
Union District 25             547                           46                            46                            46                            46                            0                             0                             92                            
Union District 26             716                           69                            69                            66                            66                            0                             0                             135                           
Union District 27             932                           136                           136                           122                           122                           0                             0                             258                           
Union District 28             621                           89                            89                            94                            94                            0                             0                             183                           
Union District 29             676                           86                            86                            77                            77                            0                             0                             163                           
Union District 30             643                           63                            63                            72                            72                            0                             0                             135                           
Union District 31             468                           44                            44                            38                            38                            0                             0                             82                            
Union District 32             655                           72                            72                            65                            65                            0                             0                             137                           
Union District 33             488                           48                            48                            50                            50                            0                             0                             98                            
Union District 34             571                           76                            76                            72                            72                            0                             0                             148                           
Union District 35             676                           60                            60                            66                            66                            0                             0                             126                           
Union District 36             715                           67                            67                            69                            69                            0                             0                             136                           
Union District 37             683                           52                            52                            51                            51                            1                             1                             104                           
Union District 38             646                           132                           132                           114                           114                           0                             0                             246                           
Union District 39             430                           82                            82                            66                            66                            0                             0                             148                           
Union District 40             684                           93                            93                            84                            84                            2                             2                             179                           
Union District 41             707                           123                           123                           106                           106                           0                             0                             229                           
Union District 42             549                           108                           108                           99                            99                            0                             0                             207                           
Union District 43             865                           102                           102                           101                           101                           0                             0                             203                           
Union District 44             593                           57                            57                            57                            57                            1                             1                             115                           
Union District 45             691                           74                            74                            78                            78                            0                             0                             152                           
Union District 46             757                           72                            72                            26                            26                            0                             0                             98                            
Union District 47             913                           84                            84                            78                            78                            0                             0                             162                           
Union District 48             437                           63                            63                            53                            53                            0                             0                             116                           
Union District 49             713                           154                           154                           155                           155                           1                             1                             310                           
Union District 50             397                           45                            45                            39                            39                            0                             0                             84                            
Union Mail-In Ballot          0                             0                             0                             0                             0                             0                             0                             0                             
Union Cong 7 Mail-In Ballot   0                             38                            38                            42                            42                            3                             3                             83                            
Union Cong 10 Mail-In Ballot  0                             33                            33                            33                            33                            0                             0                             66                            
Union Provisional             0                             0                             0                             0                             0                             0                             0                             0                             
Union Cong 7 Provisional      0                             15                            15                            13                            13                            0                             0                             28                            
Union Cong 10 Provisional     0                             11                            11                            9                             9                             0                             0                             20                            
Totals:                       34456                         4263                          4263                          4027                          4027                          10                            10                            8300                          

                                                                             Dem - Winfield Township Committee (Vote For 1)
                                                            Margaret M. MCMANUS                                         Personal Choice                                             
                              Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Total                         
Winfield District 1           451                           50                            50                            1                             1                             51                            
Winfield District 2           578                           51                            51                            0                             0                             51                            
Winfield Mail-In Ballot       0                             4                             4                             0                             0                             4                             
Winfield Provisional          0                             0                             0                             0                             0                             0                             
Totals:                       1029                          105                           105                           1                             1                             106                           

                                                                                                                                         Rep - President (Vote For 1)
                                                            John R. KASICH                                              Donald J. TRUMP                                             Ted CRUZ                                                    Personal Choice                                             
                              Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Berkeley Heights District 1   1085                          51                            51                            93                            93                            11                            11                            0                             0                             155                           
Berkeley Heights District 2   925                           17                            17                            125                           125                           9                             9                             0                             0                             151                           
Berkeley Heights District 3   812                           20                            20                            83                            83                            7                             7                             0                             0                             110                           
Berkeley Heights District 4   826                           19                            19                            104                           104                           7                             7                             0                             0                             130                           
Berkeley Heights District 5   802                           23                            23                            86                            86                            2                             2                             1                             1                             112                           
Berkeley Heights District 6   740                           27                            27                            72                            72                            6                             6                             0                             0                             105                           
Berkeley Heights District 7   1021                          67                            67                            103                           103                           7                             7                             0                             0                             177                           
Berkeley Heights District 8   1243                          30                            30                            111                           111                           5                             5                             0                             0                             146                           
Berkeley Heights District 9   774                           36                            36                            65                            65                            7                             7                             0                             0                             108                           
Berkeley Heights District 10  662                           36                            36                            73                            73                            3                             3                             0                             0                             112                           
Berkeley Heights District 11  517                           23                            23                            58                            58                            1                             1                             1                             1                             83                            
Berkeley Heights Mail-In Ballot0                             5                             5                             20                            20                            1                             1                             0                             0                             26                            
Berkeley Heights Provisional  0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Berkeley Heights Overseas     0                             0                             0                             1                             1                             0                             0                             0                             0                             1                             
Clark Ward 1 District 1       769                           6                             6                             76                            76                            0                             0                             0                             0                             82                            
Clark Ward 1 District 2       800                           13                            13                            75                            75                            0                             0                             0                             0                             88                            
Clark Ward 1 District 3       747                           10                            10                            55                            55                            5                             5                             0                             0                             70                            
Clark Ward 1 District 4       514                           9                             9                             64                            64                            1                             1                             0                             0                             74                            
Clark Ward 2 District 1       691                           5                             5                             45                            45                            1                             1                             1                             1                             52                            
Clark Ward 2 District 2       1018                          13                            13                            92                            92                            4                             4                             0                             0                             109                           
Clark Ward 2 District 3       575                           5                             5                             45                            45                            2                             2                             0                             0                             52                            
Clark Ward 2 District 4       632                           4                             4                             66                            66                            6                             6                             0                             0                             76                            
Clark Ward 3 District 1       626                           12                            12                            51                            51                            2                             2                             1                             1                             66                            
Clark Ward 3 District 2       661                           15                            15                            50                            50                            2                             2                             0                             0                             67                            
Clark Ward 3 District 3       528                           5                             5                             53                            53                            0                             0                             0                             0                             58                            
Clark Ward 3 District 4       785                           6                             6                             74                            74                            0                             0                             1                             1                             81                            
Clark Ward 4 District 1       494                           5                             5                             33                            33                            4                             4                             0                             0                             42                            
Clark Ward 4 District 2       627                           2                             2                             62                            62                            7                             7                             0                             0                             71                            
Clark Ward 4 District 3       555                           10                            10                            40                            40                            2                             2                             0                             0                             52                            
Clark Ward 4 District 4       922                           10                            10                            100                           100                           4                             4                             0                             0                             114                           
Clark Ward 1 Mail-In Ballot   0                             3                             3                             6                             6                             0                             0                             0                             0                             9                             
Clark Ward 2 Mail-In Ballot   0                             3                             3                             4                             4                             1                             1                             0                             0                             8                             
Clark Ward 3 Mail-In Ballot   0                             0                             0                             8                             8                             1                             1                             0                             0                             9                             
Clark Ward 4 Mail-In Ballot   0                             0                             0                             7                             7                             0                             0                             0                             0                             7                             
Clark Ward 1 Provisional      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Clark Ward 2 Provisional      0                             1                             1                             0                             0                             0                             0                             0                             0                             1                             
Clark Ward 3 Provisional      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Clark Ward 4 Provisional      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Clark Ward 1 Overseas         0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Clark Ward 2 Overseas         0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Clark Ward 3 Overseas         0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Clark Ward 4 Overseas         0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Cranford District 1           960                           21                            21                            41                            41                            4                             4                             2                             2                             68                            
Cranford District 2           448                           4                             4                             40                            40                            2                             2                             1                             1                             47                            
Cranford District 3           543                           10                            10                            37                            37                            3                             3                             0                             0                             50                            
Cranford District 4           456                           9                             9                             28                            28                            4                             4                             0                             0                             41                            
Cranford District 5           531                           4                             4                             36                            36                            4                             4                             0                             0                             44                            
Cranford District 6           509                           9                             9                             44                            44                            0                             0                             0                             0                             53                            
Cranford District 7           615                           10                            10                            33                            33                            3                             3                             0                             0                             46                            
Cranford District 8           585                           9                             9                             36                            36                            2                             2                             0                             0                             47                            
Cranford District 9           556                           6                             6                             46                            46                            4                             4                             0                             0                             56                            
Cranford District 10          508                           8                             8                             43                            43                            2                             2                             0                             0                             53                            
Cranford District 11          460                           14                            14                            27                            27                            1                             1                             2                             2                             44                            
Cranford District 12          584                           13                            13                            48                            48                            2                             2                             0                             0                             63                            
Cranford District 13          697                           4                             4                             52                            52                            2                             2                             1                             1                             59                            
Cranford District 14          555                           13                            13                            50                            50                            0                             0                             0                             0                             63                            
Cranford District 15          667                           13                            13                            49                            49                            5                             5                             1                             1                             68                            
Cranford District 16          469                           11                            11                            31                            31                            5                             5                             0                             0                             47                            
Cranford District 17          466                           12                            12                            44                            44                            3                             3                             0                             0                             59                            
Cranford District 18          456                           1                             1                             23                            23                            1                             1                             0                             0                             25                            
Cranford District 19          522                           10                            10                            47                            47                            6                             6                             1                             1                             64                            
Cranford District 20          490                           11                            11                            18                            18                            1                             1                             0                             0                             30                            
Cranford District 21          671                           9                             9                             47                            47                            3                             3                             0                             0                             59                            
Cranford District 22          602                           15                            15                            34                            34                            2                             2                             0                             0                             51                            
Cranford District 23          575                           14                            14                            53                            53                            1                             1                             0                             0                             68                            
Cranford District 24          457                           16                            16                            36                            36                            4                             4                             0                             0                             56                            
Cranford District 25          435                           9                             9                             33                            33                            1                             1                             0                             0                             43                            
Cranford District 26          632                           11                            11                            32                            32                            3                             3                             0                             0                             46                            
Cranford District 27          620                           4                             4                             37                            37                            3                             3                             0                             0                             44                            
Cranford District 28          481                           8                             8                             36                            36                            0                             0                             0                             0                             44                            
Cranford District 29          610                           11                            11                            43                            43                            2                             2                             0                             0                             56                            
Cranford District 30          484                           5                             5                             29                            29                            3                             3                             0                             0                             37                            
Cranford Mail-In Ballot       0                             1                             1                             30                            30                            5                             5                             0                             0                             36                            
Cranford Provisional          0                             3                             3                             0                             0                             0                             0                             0                             0                             3                             
Cranford Overseas             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Elizabeth Ward 1 District 1   784                           0                             0                             2                             2                             2                             2                             0                             0                             4                             
Elizabeth Ward 1 District 2   1068                          2                             2                             4                             4                             1                             1                             0                             0                             7                             
Elizabeth Ward 1 District 3   867                           1                             1                             10                            10                            1                             1                             0                             0                             12                            
Elizabeth Ward 1 District 4   1238                          0                             0                             1                             1                             2                             2                             0                             0                             3                             
Elizabeth Ward 1 District 5   1181                          2                             2                             4                             4                             0                             0                             0                             0                             6                             
Elizabeth Ward 1 District 6   1721                          2                             2                             6                             6                             2                             2                             0                             0                             10                            
Elizabeth Ward 1 District 7   717                           0                             0                             4                             4                             1                             1                             0                             0                             5                             
Elizabeth Ward 1 District 8   806                           1                             1                             3                             3                             1                             1                             0                             0                             5                             
Elizabeth Ward 2 District 1   695                           1                             1                             13                            13                            0                             0                             0                             0                             14                            
Elizabeth Ward 2 District 2   1519                          0                             0                             14                            14                            1                             1                             0                             0                             15                            
Elizabeth Ward 2 District 3   982                           1                             1                             13                            13                            4                             4                             0                             0                             18                            
Elizabeth Ward 2 District 4   990                           0                             0                             4                             4                             1                             1                             1                             1                             6                             
Elizabeth Ward 2 District 5   775                           1                             1                             15                            15                            0                             0                             0                             0                             16                            
Elizabeth Ward 2 District 6   1387                          1                             1                             14                            14                            1                             1                             1                             1                             17                            
Elizabeth Ward 2 District 7   536                           0                             0                             3                             3                             0                             0                             0                             0                             3                             
Elizabeth Ward 2 District 8   743                           0                             0                             6                             6                             1                             1                             0                             0                             7                             
Elizabeth Ward 2 District 9   723                           1                             1                             6                             6                             0                             0                             0                             0                             7                             
Elizabeth Ward 2 District 10  566                           0                             0                             5                             5                             0                             0                             0                             0                             5                             
Elizabeth Ward 3 District 1   607                           2                             2                             19                            19                            3                             3                             0                             0                             24                            
Elizabeth Ward 3 District 2   705                           4                             4                             19                            19                            1                             1                             1                             1                             25                            
