




                              Registered Voters             Ballots Cast                  Voter Turnout                 
Scotch Plains District 4      738                           211                           211                           203                           203                           2                             2                             6                             6                             7                             7                             10                            10                            1                             1                             0                             0                             440                           
Scotch Plains District 5      723                           215                           215                           228                           228                           0                             0                             4                             4                             6                             6                             6                             6                             5                             5                             0                             0                             464                           
Scotch Plains District 6      531                           177                           177                           144                           144                           3                             3                             1                             1                             4                             4                             2                             2                             1                             1                             0                             0                             332                           
Scotch Plains District 7      1135                          365                           365                           302                           302                           3                             3                             2                             2                             3                             3                             6                             6                             3                             3                             0                             0                             684                           
Scotch Plains District 9      733                           229                           229                           208                           208                           3                             3                             3                             3                             5                             5                             4                             4                             0                             0                             0                             0                             452                           
Scotch Plains District 10     691                           232                           232                           179                           179                           2                             2                             0                             0                             3                             3                             4                             4                             2                             2                             0                             0                             422                           
Scotch Plains District 11     679                           221                           221                           197                           197                           1                             1                             5                             5                             0                             0                             4                             4                             0                             0                             0                             0                             428                           
Scotch Plains District 12     714                           264                           264                           192                           192                           3                             3                             2                             2                             4                             4                             3                             3                             5                             5                             0                             0                             473                           
Scotch Plains District 13     691                           239                           239                           176                           176                           2                             2                             3                             3                             8                             8                             6                             6                             0                             0                             0                             0                             434                           
Scotch Plains District 14     654                           191                           191                           210                           210                           3                             3                             3                             3                             5                             5                             6                             6                             1                             1                             0                             0                             419                           
Scotch Plains District 15     713                           230                           230                           205                           205                           0                             0                             4                             4                             3                             3                             2                             2                             1                             1                             1                             1                             446                           
Scotch Plains District 16     989                           318                           318                           217                           217                           1                             1                             5                             5                             7                             7                             3                             3                             5                             5                             0                             0                             556                           
Scotch Plains District 17     813                           249                           249                           223                           223                           1                             1                             2                             2                             7                             7                             2                             2                             0                             0                             0                             0                             484                           
Scotch Plains District 18     717                           191                           191                           215                           215                           1                             1                             2                             2                             1                             1                             1                             1                             1                             1                             0                             0                             412                           
Scotch Plains District 19     826                           231                           231                           265                           265                           3                             3                             3                             3                             1                             1                             1                             1                             3                             3                             0                             0                             507                           
Scotch Plains District 20     966                           236                           236                           309                           309                           4                             4                             2                             2                             6                             6                             1                             1                             2                             2                             0                             0                             560                           
Scotch Plains District 21     889                           282                           282                           171                           171                           4                             4                             4                             4                             8                             8                             5                             5                             1                             1                             0                             0                             475                           
Scotch Plains District 22     475                           150                           150                           142                           142                           1                             1                             2                             2                             2                             2                             3                             3                             0                             0                             0                             0                             300                           
Scotch Plains District 23     767                           189                           189                           240                           240                           2                             2                             0                             0                             5                             5                             6                             6                             1                             1                             0                             0                             443                           
Scotch Plains 12th cong Mail-In Ballot0                             635                           635                           382                           382                           2                             2                             8                             8                             8                             8                             9                             9                             2                             2                             1                             1                             1047                          
Scotch Plains 12th cong Provisional0                             33                            33                            25                            25                            0                             0                             0                             0                             3                             3                             0                             0                             0                             0                             0                             0                             61                            
Scotch Plains 12th cong Overseas0                             39                            39                            4                             4                             1                             1                             4                             4                             0                             0                             0                             0                             0                             0                             0                             0                             48                            
Totals:                       45936                         19678                         19678                         7320                          7320                          138                           138                           173                           173                           261                           261                           171                           171                           97                            97                            10                            10                            27848                         

                                                                                                                                                                                                                                   Freeholders (Vote For 3)
                                                            Dem - Linda S. CARTER                                       Dem - Bette Jane KOWALSKI                                   Dem - Sergio GRANADOS                                       Rep - Joseph G.  AUBOURG                                    Rep - Glenn E. GELBAND                                      Rep - Justin VERZOSA                                        Personal Choice                                             
                              Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Berkeley Heights District 1   1135                          278                           278                           283                           283                           268                           268                           359                           359                           358                           358                           355                           355                           0                             0                             1901                          
Berkeley Heights District 2   963                           188                           188                           196                           196                           184                           184                           299                           299                           296                           296                           284                           284                           1                             1                             1448                          
Berkeley Heights District 3   839                           191                           191                           189                           189                           176                           176                           267                           267                           276                           276                           264                           264                           0                             0                             1363                          
Berkeley Heights District 4   861                           183                           183                           180                           180                           164                           164                           289                           289                           289                           289                           299                           299                           0                             0                             1404                          
Berkeley Heights District 5   838                           190                           190                           186                           186                           169                           169                           254                           254                           253                           253                           248                           248                           0                             0                             1300                          
Berkeley Heights District 6   759                           171                           171                           166                           166                           156                           156                           240                           240                           250                           250                           248                           248                           1                             1                             1232                          
Berkeley Heights District 7   1067                          253                           253                           227                           227                           239                           239                           381                           381                           372                           372                           361                           361                           0                             0                             1833                          
Berkeley Heights District 8   1302                          317                           317                           308                           308                           292                           292                           362                           362                           369                           369                           366                           366                           1                             1                             2015                          
Berkeley Heights District 9   808                           201                           201                           197                           197                           191                           191                           277                           277                           277                           277                           276                           276                           0                             0                             1419                          
Berkeley Heights District 10  667                           159                           159                           148                           148                           148                           148                           254                           254                           240                           240                           248                           248                           0                             0                             1197                          
Berkeley Heights District 11  536                           122                           122                           127                           127                           114                           114                           192                           192                           192                           192                           199                           199                           3                             3                             949                           
Berkeley Heights Mail-In Ballot0                             291                           291                           290                           290                           262                           262                           240                           240                           239                           239                           243                           243                           8                             8                             1573                          
Berkeley Heights Provisional  0                             10                            10                            9                             9                             8                             8                             21                            21                            21                            21                            23                            23                            0                             0                             92                            
Clark Ward 1 District 1       812                           129                           129                           132                           132                           117                           117                           331                           331                           332                           332                           335                           335                           0                             0                             1376                          
Clark Ward 1 District 2       843                           161                           161                           161                           161                           153                           153                           317                           317                           320                           320                           317                           317                           0                             0                             1429                          
Clark Ward 1 District 3       768                           151                           151                           146                           146                           148                           148                           223                           223                           229                           229                           226                           226                           0                             0                             1123                          
Clark Ward 1 District 4       543                           100                           100                           104                           104                           95                            95                            212                           212                           214                           214                           214                           214                           0                             0                             939                           
Clark Ward 2 District 1       712                           171                           171                           173                           173                           152                           152                           219                           219                           218                           218                           212                           212                           0                             0                             1145                          
Clark Ward 2 District 2       1098                          244                           244                           236                           236                           222                           222                           341                           341                           336                           336                           338                           338                           0                             0                             1717                          
Clark Ward 2 District 3       607                           152                           152                           151                           151                           138                           138                           146                           146                           142                           142                           140                           140                           0                             0                             869                           
Clark Ward 2 District 4       646                           117                           117                           120                           120                           107                           107                           239                           239                           243                           243                           244                           244                           1                             1                             1071                          
Clark Ward 3 District 1       661                           133                           133                           131                           131                           121                           121                           256                           256                           256                           256                           252                           252                           0                             0                             1149                          
Clark Ward 3 District 2       696                           151                           151                           157                           157                           144                           144                           236                           236                           240                           240                           238                           238                           0                             0                             1166                          
Clark Ward 3 District 3       545                           114                           114                           117                           117                           106                           106                           202                           202                           205                           205                           204                           204                           0                             0                             948                           
Clark Ward 3 District 4       818                           181                           181                           183                           183                           165                           165                           281                           281                           284                           284                           288                           288                           0                             0                             1382                          
Clark Ward 4 District 1       535                           101                           101                           111                           111                           98                            98                            192                           192                           188                           188                           191                           191                           0                             0                             881                           
Clark Ward 4 District 2       654                           116                           116                           118                           118                           107                           107                           244                           244                           246                           246                           248                           248                           0                             0                             1079                          
Clark Ward 4 District 3       569                           134                           134                           140                           140                           124                           124                           213                           213                           210                           210                           220                           220                           0                             0                             1041                          
Clark Ward 4 District 4       950                           151                           151                           154                           154                           135                           135                           407                           407                           404                           404                           401                           401                           0                             0                             1652                          
Clark Ward 1 Mail-In Ballot   0                             72                            72                            72                            72                            65                            65                            102                           102                           105                           105                           105                           105                           0                             0                             521                           
Clark Ward 2 Mail-In Ballot   0                             84                            84                            89                            89                            78                            78                            82                            82                            82                            82                            85                            85                            0                             0                             500                           
Clark Ward 3 Mail-In Ballot   0                             73                            73                            80                            80                            66                            66                            94                            94                            90                            90                            92                            92                            0                             0                             495                           
Clark Ward 4 Mail-In Ballot   0                             64                            64                            66                            66                            57                            57                            83                            83                            83                            83                            86                            86                            1                             1                             440                           
Clark Ward 1 Provisional      0                             6                             6                             5                             5                             5                             5                             7                             7                             8                             8                             8                             8                             0                             0                             39                            
Clark Ward 2 Provisional      0                             5                             5                             7                             7                             6                             6                             10                            10                            10                            10                            11                            11                            0                             0                             49                            
Clark Ward 3 Provisional      0                             3                             3                             2                             2                             2                             2                             3                             3                             4                             4                             4                             4                             0                             0                             18                            
Clark Ward 4 Provisional      0                             3                             3                             2                             2                             2                             2                             4                             4                             4                             4                             5                             5                             0                             0                             20                            
Cranford District 1           1044                          339                           339                           337                           337                           315                           315                           252                           252                           254                           254                           247                           247                           0                             0                             1744                          
Cranford District 2           460                           135                           135                           142                           142                           123                           123                           132                           132                           129                           129                           131                           131                           0                             0                             792                           
Cranford District 3           564                           161                           161                           174                           174                           141                           141                           179                           179                           182                           182                           182                           182                           0                             0                             1019                          
Cranford District 4           479                           146                           146                           139                           139                           135                           135                           163                           163                           176                           176                           170                           170                           0                             0                             929                           
Cranford District 5           535                           170                           170                           180                           180                           161                           161                           158                           158                           151                           151                           157                           157                           0                             0                             977                           
Cranford District 6           526                           162                           162                           174                           174                           150                           150                           175                           175                           171                           171                           176                           176                           0                             0                             1008                          
Cranford District 7           653                           221                           221                           223                           223                           208                           208                           157                           157                           160                           160                           168                           168                           0                             0                             1137                          
Cranford District 8           608                           182                           182                           190                           190                           167                           167                           187                           187                           190                           190                           185                           185                           0                             0                             1101                          
Cranford District 9           583                           178                           178                           182                           182                           161                           161                           204                           204                           199                           199                           200                           200                           0                             0                             1124                          
Cranford District 10          525                           154                           154                           156                           156                           141                           141                           157                           157                           161                           161                           166                           166                           0                             0                             935                           
Cranford District 11          472                           148                           148                           154                           154                           135                           135                           145                           145                           145                           145                           144                           144                           3                             3                             874                           
Cranford District 12          607                           184                           184                           195                           195                           172                           172                           163                           163                           163                           163                           167                           167                           0                             0                             1044                          
Cranford District 13          728                           195                           195                           201                           201                           187                           187                           172                           172                           171                           171                           164                           164                           0                             0                             1090                          
Cranford District 14          588                           160                           160                           168                           168                           151                           151                           187                           187                           193                           193                           193                           193                           0                             0                             1052                          
Cranford District 15          707                           237                           237                           234                           234                           220                           220                           163                           163                           164                           164                           165                           165                           0                             0                             1183                          
Cranford District 16          496                           152                           152                           162                           162                           142                           142                           169                           169                           163                           163                           156                           156                           0                             0                             944                           
Cranford District 17          481                           122                           122                           130                           130                           113                           113                           179                           179                           176                           176                           180                           180                           0                             0                             900                           
Cranford District 18          471                           140                           140                           153                           153                           128                           128                           143                           143                           147                           147                           140                           140                           0                             0                             851                           
Cranford District 19          530                           136                           136                           155                           155                           130                           130                           179                           179                           168                           168                           164                           164                           0                             0                             932                           
Cranford District 20          530                           191                           191                           194                           194                           181                           181                           158                           158                           149                           149                           159                           159                           0                             0                             1032                          
Cranford District 21          713                           204                           204                           223                           223                           188                           188                           181                           181                           176                           176                           193                           193                           0                             0                             1165                          
Cranford District 22          619                           199                           199                           201                           201                           188                           188                           191                           191                           188                           188                           188                           188                           0                             0                             1155                          
Cranford District 23          577                           188                           188                           202                           202                           183                           183                           171                           171                           176                           176                           177                           177                           0                             0                             1097                          
