




                              Registered Voters             Ballots Cast                  Voter Turnout                 
Hillsborough D 20             649                           72                            72                            72                            
Hillsborough D 21             887                           51                            51                            51                            
Hillsborough D 22             768                           55                            55                            55                            
Hillsborough D 23             708                           70                            70                            70                            
Hillsborough D 24             763                           50                            50                            50                            
Hillsborough D 25             841                           85                            85                            85                            
Hillsborough D 26             821                           90                            90                            90                            
Hillsborough D 27             1081                          111                           111                           111                           
Hillsborough D 28             983                           91                            91                            91                            
Hillsborough D 29             758                           78                            78                            78                            
Hillsborough D 30             773                           110                           110                           110                           
Hillsborough D 31             872                           83                            83                            83                            
Hillsborough D 32             657                           46                            46                            46                            
Hillsborough D 33             859                           84                            84                            84                            
Hillsborough Mail-In Ballot   0                             121                           121                           121                           
Hillsborough Provo            0                             5                             5                             5                             
Manville D 1                  772                           93                            93                            93                            
Manville D 2                  808                           76                            76                            76                            
Manville D 3                  663                           60                            60                            60                            
Manville D 4                  790                           77                            77                            77                            
Manville D 5                  915                           92                            92                            92                            
Manville D 6                  701                           74                            74                            74                            
Manville D 7                  616                           53                            53                            53                            
Manville Mail-In Ballot       0                             31                            31                            31                            
Manville Provo                0                             3                             3                             3                             
Millstone D 1                 340                           37                            37                            37                            
Millstone Mail-In Ballot      0                             0                             0                             0                             
Millstone Provo               0                             0                             0                             0                             
Montgomery D 1                739                           32                            32                            32                            
Montgomery D 2                890                           36                            36                            36                            
Montgomery D 3                680                           76                            76                            76                            
Montgomery D 4                645                           59                            59                            59                            
Montgomery D 5                902                           72                            72                            72                            
Montgomery D 6                700                           45                            45                            45                            
Montgomery D 7                896                           70                            70                            70                            
Montgomery D 8                898                           68                            68                            68                            
Montgomery D 9                801                           51                            51                            51                            
Montgomery D 10               733                           30                            30                            30                            
Montgomery D 11               1032                          99                            99                            99                            
Montgomery D 12               853                           73                            73                            73                            
Montgomery D 13               912                           36                            36                            36                            
Montgomery D 14               530                           52                            52                            52                            
Montgomery D 15               920                           79                            79                            79                            
Montgomery D 16               770                           79                            79                            79                            
Montgomery D 17               932                           36                            36                            36                            
Montgomery D 18               875                           72                            72                            72                            
Montgomery D 19               756                           62                            62                            62                            
Montgomery Mail-In Ballot     0                             41                            41                            41                            
Montgomery Provo              0                             1                             1                             1                             
North Plainfield D 1          1008                          34                            34                            34                            
North Plainfield D 2          848                           56                            56                            56                            
North Plainfield D 3          802                           36                            36                            36                            
North Plainfield D 4          814                           32                            32                            32                            
North Plainfield D 5          787                           31                            31                            31                            
North Plainfield D 6          1025                          30                            30                            30                            
North Plainfield D 7          896                           54                            54                            54                            
North Plainfield D 8          912                           41                            41                            41                            
North Plainfield D 9          881                           52                            52                            52                            
North Plainfield D 10         756                           37                            37                            37                            
North Plainfield D 11         874                           64                            64                            64                            
North Plainfield D 12         565                           42                            42                            42                            
North Plainfield Mail-In Ballot0                             14                            14                            14                            
North Plainfield Provo        0                             0                             0                             0                             
Peapack Gladstone D 1         979                           159                           159                           159                           
Peapack Gladstone D 2         904                           126                           126                           126                           
Peapack Gladstone Mail-In Ballot0                             17                            17                            17                            
Peapack Gladstone Provo       0                             0                             0                             0                             
Raritan D 1                   964                           65                            65                            65                            
Raritan D 2                   1213                          121                           121                           121                           
Raritan D 3                   579                           55                            55                            55                            
Raritan D 4                   920                           61                            61                            61                            
Raritan D 5                   723                           61                            61                            61                            
Raritan Mail-In Ballot        0                             26                            26                            26                            
Raritan Provo                 0                             0                             0                             0                             
Rocky Hill D 1                537                           40                            40                            40                            
Rocky Hill Mail-In Ballot     0                             0                             0                             0                             
Rocky Hill Provo              0                             0                             0                             0                             
Somerville D 1                583                           63                            63                            63                            
Somerville D 2                783                           63                            63                            63                            
Somerville D 3                867                           43                            43                            43                            
Somerville D 4                752                           87                            87                            87                            
Somerville D 5                808                           57                            57                            57                            
Somerville D 6                552                           67                            67                            67                            
Somerville D 7                779                           85                            85                            85                            
Somerville D 8                843                           28                            28                            28                            
Somerville D 9                616                           61                            61                            61                            
Somerville Mail-In Ballot     0                             22                            22                            22                            
Somerville Provo              0                             2                             2                             2                             
South Bound Brook D 1         876                           77                            77                            77                            
South Bound Brook D 2         963                           42                            42                            42                            
South Bound Brook D 3         740                           56                            56                            56                            
South Bound Brook Mail-In Ballot0                             6                             6                             6                             
South Bound Brook Provo       0                             1                             1                             1                             
Warren D 1                    785                           63                            63                            63                            
Warren D 2                    752                           157                           157                           157                           
Warren D 3                    942                           103                           103                           103                           
Warren D 4                    902                           112                           112                           112                           
Warren D 5                    889                           115                           115                           115                           
Warren D 6                    789                           90                            90                            90                            
Warren D 7                    906                           95                            95                            95                            
Warren D 8                    842                           99                            99                            99                            
Warren D 9                    858                           81                            81                            81                            
Warren D 10                   886                           113                           113                           113                           
Warren D 11                   849                           81                            81                            81                            
Warren D 12                   1216                          108                           108                           108                           
Warren D 13                   896                           75                            75                            75                            
Warren Mail-In Ballot         0                             58                            58                            58                            
Warren Provo                  0                             1                             1                             1                             
Watchung D 1                  836                           109                           109                           109                           
Watchung D 2                  946                           112                           112                           112                           
Watchung D 3                  755                           115                           115                           115                           
Watchung D 4                  892                           117                           117                           117                           
Watchung D 5                  950                           71                            71                            71                            
Watchung Mail-In Ballot       0                             24                            24                            24                            
Watchung Provo                0                             0                             0                             0                             
Totals:                       212280                        20057                         20057                         20057                         

                                               REP - Board of Chosen Freeholders (Vote For 1)
                                                            Pat WALSH                                                   
                              Registered Voters             Election                      Choice Total                  Total                         
Bedminster D 1                487                           86                            86                            86                            
Bedminster D 2                648                           104                           104                           104                           
Bedminster D 3                605                           85                            85                            85                            
Bedminster D 4                719                           102                           102                           102                           
Bedminster D 5                1007                          91                            91                            91                            
Bedminster D 6                896                           103                           103                           103                           
Bedminster D 7                876                           111                           111                           111                           
Bedminster D 8                712                           62                            62                            62                            
Bedminster D 9                512                           62                            62                            62                            
Bedminster Mail-In Ballot     0                             31                            31                            31                            
Bedminster Provo              0                             0                             0                             0                             
Bernards D 1                  599                           75                            75                            75                            
Bernards D 2                  807                           121                           121                           121                           
Bernards D 3                  737                           122                           122                           122                           
Bernards D 4                  748                           78                            78                            78                            
Bernards D 5                  800                           120                           120                           120                           
Bernards D 6                  823                           111                           111                           111                           
Bernards D 7                  730                           118                           118                           118                           
Bernards D 8                  890                           115                           115                           115                           
Bernards D 9                  950                           131                           131                           131                           
Bernards D 10                 952                           152                           152                           152                           
Bernards D 11                 835                           104                           104                           104                           
Bernards D 12                 914                           114                           114                           114                           
Bernards D 13                 962                           125                           125                           125                           
Bernards D 14                 894                           109                           109                           109                           
Bernards D 15                 789                           97                            97                            97                            
Bernards D 16                 497                           58                            58                            58                            
Bernards D 17                 888                           106                           106                           106                           
Bernards D 18                 877                           117                           117                           117                           
Bernards D 19                 870                           113                           113                           113                           
Bernards D 20                 796                           187                           187                           187                           
Bernards D 21                 759                           62                            62                            62                            
Bernards D 22                 667                           54                            54                            54                            
Bernards D 23                 665                           70                            70                            70                            
Bernards D 24                 686                           72                            72                            72                            
Bernards Mail-In Ballot       0                             114                           114                           114                           
Bernards Provo                0                             7                             7                             7                             
Bernardsville D 1             853                           117                           117                           117                           
Bernardsville D 2             746                           125                           125                           125                           
Bernardsville D 3             822                           76                            76                            76                            
Bernardsville D 4             778                           108                           108                           108                           
Bernardsville D 5             734                           119                           119                           119                           
Bernardsville D 6             845                           110                           110                           110                           
Bernardsville D 7             783                           119                           119                           119                           
Bernardsville Mail-In Ballot  0                             50                            50                            50                            
Bernardsville Provo           0                             1                             1                             1                             
Bound Brook D 1               905                           51                            51                            51                            
Bound Brook D 2               483                           6                             6                             6                             
Bound Brook D 3               692                           43                            43                            43                            
Bound Brook D 4               919                           36                            36                            36                            
Bound Brook D 5               459                           47                            47                            47                            
Bound Brook D 6               625                           54                            54                            54                            
Bound Brook D 7               489                           52                            52                            52                            
Bound Brook Mail-In Ballot    0                             21                            21                            21                            
Bound Brook Provo             0                             0                             0                             0                             
Branchburg D 1                832                           117                           117                           117                           
Branchburg D 2                863                           89                            89                            89                            
Branchburg D 3                656                           80                            80                            80                            
Branchburg D 4                615                           93                            93                            93                            
Branchburg D 5                678                           113                           113                           113                           
Branchburg D 6                890                           120                           120                           120                           
Branchburg D 7                903                           132                           132                           132                           
Branchburg D 8                852                           118                           118                           118                           
Branchburg D 9                758                           91                            91                            91                            
Branchburg D 10               617                           101                           101                           101                           
Branchburg D 11               833                           90                            90                            90                            
Branchburg D 12               684                           68                            68                            68                            
Branchburg D 13               765                           120                           120                           120                           
Branchburg D 14               494                           64                            64                            64                            
Branchburg Mail-In Ballot     0                             40                            40                            40                            
Branchburg Provo              0                             3                             3                             3                             
Bridgewater D 1               899                           92                            92                            92                            
Bridgewater D 2               1155                          119                           119                           119                           
Bridgewater D 3               893                           64                            64                            64                            
Bridgewater D 4               880                           91                            91                            91                            
Bridgewater D 5               901                           58                            58                            58                            
Bridgewater D 6               754                           95                            95                            95                            
Bridgewater D 7               700                           102                           102                           102                           
Bridgewater D 8               746                           55                            55                            55                            
Bridgewater D 9               691                           87                            87                            87                            
Bridgewater D 10              1044                          131                           131                           131                           
Bridgewater D 11              696                           66                            66                            66                            
Bridgewater D 12              887                           130                           130                           130                           
Bridgewater D 13              673                           62                            62                            62                            
Bridgewater D 14              779                           61                            61                            61                            
Bridgewater D 15              814                           89                            89                            89                            
Bridgewater D 16              764                           95                            95                            95                            
Bridgewater D 17              578                           72                            72                            72                            
Bridgewater D 18              751                           74                            74                            74                            
Bridgewater D 19              789                           87                            87                            87                            
Bridgewater D 20              958                           116                           116                           116                           
Bridgewater D 21              518                           67                            67                            67                            
Bridgewater D 22              888                           117                           117                           117                           
Bridgewater D 23              881                           95                            95                            95                            
Bridgewater D 24              889                           103                           103                           103                           
Bridgewater D 25              837                           82                            82                            82                            
Bridgewater D 26              780                           81                            81                            81                            
Bridgewater D 27              535                           41                            41                            41                            
Bridgewater D 28              725                           81                            81                            81                            
Bridgewater D 29              721                           63                            63                            63                            
Bridgewater D 30              769                           85                            85                            85                            
Bridgewater D 31              953                           82                            82                            82                            
Bridgewater D 32              929                           83                            83                            83                            
Bridgewater D 33              904                           79                            79                            79                            
Bridgewater D 34              900                           79                            79                            79                            
Bridgewater D 35              1011                          66                            66                            66                            
Bridgewater D 36              997                           66                            66                            66                            
Bridgewater Mail-In Ballot    0                             140                           140                           140                           
Bridgewater Provo             0                             1                             1                             1                             
Far Hills D 1                 751                           126                           126                           126                           
Far Hills Mail-In Ballot      0                             6                             6                             6                             
Far Hills Provo               0                             0                             0                             0                             
Franklin W1 D 1               550                           50                            50                            50                            
Franklin W1 D 2               865                           70                            70                            70                            
Franklin W1 D 3               894                           22                            22                            22                            
Franklin W1 D 4               966                           22                            22                            22                            
Franklin W1 D 5               767                           41                            41                            41                            
Franklin W1 D 6               769                           22                            22                            22                            
Franklin W1 D 7               899                           33                            33                            33                            
Franklin W1 D 8               752                           19                            19                            19                            
Franklin W1 D 9               795                           29                            29                            29                            
Franklin W1 D 10              850                           39                            39                            39                            
Franklin W 1 Mail-In Ballot   0                             0                             0                             0                             
Franklin W 1 Provo            0                             0                             0                             0                             
Franklin W2 D 11              1600                          140                           140                           140                           
Franklin W2 D 12              1037                          64                            64                            64                            
Franklin W2 D 13              736                           38                            38                            38                            
Franklin W2 D 14              712                           45                            45                            45                            
Franklin W2 D 15              602                           46                            46                            46                            
Franklin W2 D 16              859                           66                            66                            66                            
Franklin W2 D 17              879                           79                            79                            79                            
Franklin W2 D 18              914                           67                            67                            67                            
Franklin W2 D 19              672                           34                            34                            34                            
Franklin W2 D 20              828                           41                            41                            41                            
Franklin W2 D 21              813                           33                            33                            33                            
Franklin W2 D 22              929                           31                            31                            31                            
Franklin W 2 Mail-In Ballot   0                             0                             0                             0                             
Franklin W 2 Provo            0                             0                             0                             0                             
Franklin W3 D 24              658                           37                            37                            37                            
Franklin W3 D 26              811                           66                            66                            66                            
Franklin W3 D 27              722                           48                            48                            48                            
Franklin W3 D 28              751                           50                            50                            50                            
Franklin W3 D 29              685                           44                            44                            44                            
Franklin W3 D 30              806                           19                            19                            19                            
Franklin W3 D 31              976                           17                            17                            17                            
Franklin W3 D 32              609                           18                            18                            18                            
Franklin W3 D 33              697                           13                            13                            13                            
Franklin W3 D 34              798                           5                             5                             5                             
Franklin W 3 Mail-In Ballot   0                             8                             8                             8                             
Franklin W 3 Provo            0                             1                             1                             1                             
Franklin W4 D 25              714                           45                            45                            45                            
Franklin W4 D 35              682                           18                            18                            18                            
Franklin W4 D 36              744                           24                            24                            24                            
Franklin W4 D 37              667                           35                            35                            35                            
Franklin W4 D 38              777                           17                            17                            17                            
Franklin W4 D 39              990                           21                            21                            21                            
Franklin W4 D 40              944                           0                             0                             0                             
Franklin W4 D 41              586                           0                             0                             0                             
Franklin W4 D 42              939                           13                            13                            13                            
Franklin W4 D 43              715                           2                             2                             2                             
Franklin W 4 Mail-In Ballot   0                             0                             0                             0                             
Franklin W 4 Provo            0                             0                             0                             0                             
Franklin W5 D 23              826                           41                            41                            41                            
Franklin W5 D 44              862                           12                            12                            12                            
Franklin W5 D 45              909                           30                            30                            30                            
Franklin W5 D 46              787                           21                            21                            21                            
Franklin W5 D 47              794                           21                            21                            21                            
Franklin W5 D 48              527                           7                             7                             7                             
Franklin W5 D 49              777                           18                            18                            18                            
Franklin W5 D 50              750                           38                            38                            38                            
Franklin W5 D 51              880                           53                            53                            53                            
Franklin W 5 Mail-In Ballot   0                             0                             0                             0                             
Franklin W 5 Provo            0                             0                             0                             0                             
Franklin Mail-In Ballot       0                             78                            78                            78                            
Franklin Provo                0                             3                             3                             3                             
Green Brook D 1               897                           85                            85                            85                            
Green Brook D 2               632                           85                            85                            85                            
Green Brook D 3               930                           88                            88                            88                            
