




District                      Registered Voters             Ballots Cast                  Voter Turnout                 
Stafford District 01          802                           180                           180                           191                           191                           371                           
Stafford District 02          623                           158                           158                           166                           166                           324                           
Stafford District 03          1238                          322                           322                           365                           365                           687                           
Stafford District 04          1146                          300                           300                           314                           314                           614                           
Stafford District 05          1108                          275                           275                           219                           219                           494                           
Stafford District 06          1105                          273                           273                           330                           330                           603                           
Stafford District 07          1105                          260                           260                           354                           354                           614                           
Stafford District 08          1208                          263                           263                           397                           397                           660                           
Stafford District 09          1122                          267                           267                           362                           362                           629                           
Stafford District 10          1253                          296                           296                           351                           351                           647                           
Stafford District 11          1068                          218                           218                           343                           343                           561                           
Stafford District 12          1037                          232                           232                           348                           348                           580                           
Stafford District 13          831                           261                           261                           213                           213                           474                           
Stafford District 14          373                           147                           147                           94                            94                            241                           
Stafford District 15          1052                          302                           302                           258                           258                           560                           
Stafford District 16          624                           219                           219                           147                           147                           366                           
Stafford District 17          668                           178                           178                           214                           214                           392                           
Stafford District 18          902                           208                           208                           238                           238                           446                           
Stafford District 19          1005                          221                           221                           313                           313                           534                           
Stafford District 20          1035                          228                           228                           309                           309                           537                           
Stafford District 21          699                           138                           138                           182                           182                           320                           
Stafford Mail-In Ballot       0                             0                             0                             0                             0                             0                             
Stafford Provisional          0                             0                             0                             0                             0                             0                             
Stafford Cong Dist 2 Mail-In Ballot0                             354                           354                           209                           209                           563                           
Stafford Cong Dist 2 Provisional0                             7                             7                             17                            17                            24                            
Stafford Cong Dist 3 Mail-In Ballot0                             619                           619                           447                           447                           1066                          
Stafford Cong Dist 3 Provisional0                             34                            34                            34                            34                            68                            
Surf City District 01         1121                          368                           368                           218                           218                           586                           
Surf City Mail-In Ballot      0                             107                           107                           36                            36                            143                           
Surf City Provisional         0                             1                             1                             0                             0                             1                             
Toms River District 01        657                           130                           130                           163                           163                           293                           
Toms River District 02        812                           163                           163                           262                           262                           425                           
Toms River District 03        769                           184                           184                           191                           191                           375                           
Toms River District 04        1659                          364                           364                           519                           519                           883                           
Toms River District 05        573                           131                           131                           231                           231                           362                           
Toms River District 06        1373                          300                           300                           405                           405                           705                           
Toms River District 07        1522                          312                           312                           428                           428                           740                           
Toms River District 08        1241                          339                           339                           281                           281                           620                           
Toms River District 09        1217                          318                           318                           335                           335                           653                           
Toms River District 10        763                           127                           127                           177                           177                           304                           
Toms River District 11        1001                          220                           220                           359                           359                           579                           
Toms River District 12        970                           235                           235                           314                           314                           549                           
Toms River District 13        843                           183                           183                           285                           285                           468                           
Toms River District 14        1027                          213                           213                           322                           322                           535                           
Toms River District 15        836                           207                           207                           202                           202                           409                           
Toms River District 16        1331                          280                           280                           440                           440                           720                           
Toms River District 17        1208                          291                           291                           422                           422                           713                           
Toms River District 18        659                           161                           161                           214                           214                           375                           
Toms River District 19        879                           224                           224                           260                           260                           484                           
Toms River District 20        1253                          256                           256                           402                           402                           658                           
Toms River District 21        1155                          210                           210                           344                           344                           554                           
Toms River District 22        1168                          306                           306                           342                           342                           648                           
Toms River District 23        890                           224                           224                           257                           257                           481                           
Toms River District 24        1691                          370                           370                           453                           453                           823                           
Toms River District 25        808                           173                           173                           230                           230                           403                           
Toms River District 26        1016                          250                           250                           306                           306                           556                           
Toms River District 27        1205                          252                           252                           427                           427                           679                           
Toms River District 28        1028                          244                           244                           347                           347                           591                           
Toms River District 29        769                           199                           199                           231                           231                           430                           
Toms River District 30        1383                          213                           213                           382                           382                           595                           
Toms River District 31        891                           204                           204                           288                           288                           492                           
Toms River District 32        1284                          238                           238                           414                           414                           652                           
Toms River District 33        1320                          299                           299                           438                           438                           737                           
Toms River District 34        1059                          220                           220                           328                           328                           548                           
Toms River District 35        1482                          322                           322                           536                           536                           858                           
Toms River District 36        985                           250                           250                           320                           320                           570                           
Toms River District 37        752                           116                           116                           207                           207                           323                           
Toms River District 38        909                           177                           177                           330                           330                           507                           
Toms River District 39        1500                          331                           331                           506                           506                           837                           
Toms River District 40        702                           120                           120                           177                           177                           297                           
Toms River District 41        1357                          269                           269                           443                           443                           712                           
Toms River District 42        956                           229                           229                           318                           318                           547                           
Toms River District 43        588                           241                           241                           138                           138                           379                           
Toms River District 44        855                           222                           222                           208                           208                           430                           
Toms River District 45        1621                          370                           370                           471                           471                           841                           
Toms River District 46        1029                          253                           253                           340                           340                           593                           
Toms River District 47        738                           273                           273                           200                           200                           473                           
Toms River District 48        765                           309                           309                           183                           183                           492                           
Toms River District 49        658                           220                           220                           163                           163                           383                           
Toms River District 50        845                           178                           178                           271                           271                           449                           
Toms River District 51        860                           160                           160                           270                           270                           430                           
Toms River District 52        1606                          393                           393                           415                           415                           808                           
Toms River District 53        797                           178                           178                           265                           265                           443                           
Toms River District 54        962                           220                           220                           291                           291                           511                           
Toms River District 55        867                           212                           212                           303                           303                           515                           
Toms River District 56        925                           216                           216                           295                           295                           511                           
Toms River District 57        920                           203                           203                           276                           276                           479                           
Toms River District 58        1533                          274                           274                           490                           490                           764                           
Toms River District 59        711                           262                           262                           192                           192                           454                           
Toms River District 60        747                           192                           192                           238                           238                           430                           
Toms River District 61        1073                          253                           253                           344                           344                           597                           
Toms River District 62        842                           196                           196                           250                           250                           446                           
Toms River District 63        772                           161                           161                           243                           243                           404                           
Toms River Mail-In Ballot     0                             2013                          2013                          1393                          1393                          3406                          
Toms River W-1 Mail-In Ballot 0                             0                             0                             0                             0                             0                             
Toms River W-2 Mail-In Ballot 0                             806                           806                           490                           490                           1296                          
Toms River W-3 Mail-In Ballot 0                             0                             0                             0                             0                             0                             
Toms River W-4 Mail-In Ballot 0                             0                             0                             0                             0                             0                             
Toms River Provisional        0                             97                            97                            162                           162                           259                           
Toms River W-1 Provisional    0                             0                             0                             0                             0                             0                             
Toms River W-2 Provisional    0                             29                            29                            52                            52                            81                            
Toms River W-3 Provisional    0                             0                             0                             0                             0                             0                             
Toms River W-4 Provisional    0                             0                             0                             0                             0                             0                             
Tuckerton District 01         1311                          340                           340                           390                           390                           730                           
Tuckerton District 02         1012                          260                           260                           322                           322                           582                           
Tuckerton Mail-In Ballot      0                             67                            67                            29                            29                            96                            
Tuckerton Provisional         0                             5                             5                             11                            11                            16                            
Totals:                       401209                        114648                        114648                        130024                        130024                        244672                        

                                                                             Barnegat Question No. 1 (Vote For 1)
                                                            Yes                                                         No                                                          
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Total                         
Barnegat District 01          1401                          442                           442                           251                           251                           693                           
Barnegat District 02          2138                          623                           623                           445                           445                           1068                          
Barnegat District 03          1187                          356                           356                           265                           265                           621                           
Barnegat District 04          1162                          328                           328                           222                           222                           550                           
Barnegat District 05          746                           214                           214                           163                           163                           377                           
Barnegat District 06          1331                          380                           380                           258                           258                           638                           
Barnegat District 07          1172                          361                           361                           271                           271                           632                           
Barnegat District 08          971                           238                           238                           331                           331                           569                           
Barnegat District 09          829                           201                           201                           365                           365                           566                           
Barnegat District 10          414                           98                            98                            158                           158                           256                           
Barnegat District 11          2089                          582                           582                           394                           394                           976                           
Barnegat District 12          994                           275                           275                           332                           332                           607                           
Barnegat District 13          965                           270                           270                           277                           277                           547                           
Barnegat District 14          607                           153                           153                           181                           181                           334                           
Barnegat District 15          633                           152                           152                           257                           257                           409                           
Barnegat Mail-In Ballot       0                             646                           646                           558                           558                           1204                          
Barnegat Provisional          0                             43                            43                            19                            19                            62                            
Totals:                       16639                         5362                          5362                          4747                          4747                          10109                         

                                                                             Beach Haven Question No. 1 (Vote For 1)
                                                            Yes                                                         No                                                          
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Total                         
Beach Haven District 01       1029                          230                           230                           254                           254                           484                           
Beach Haven Mail-In Ballot    0                             63                            63                            80                            80                            143                           
Beach Haven Provisional       0                             3                             3                             4                             4                             7                             
Totals:                       1029                          296                           296                           338                           338                           634                           

                                                                             Harvey Cedars Question No. 1 (Vote For 1)
                                                            Yes                                                         No                                                          
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Total                         
Harvey Cedars District 01     415                           96                            96                            87                            87                            183                           
Harvey Cedars Mail-In Ballot  0                             55                            55                            39                            39                            94                            
Harvey Cedars Provisional     0                             2                             2                             1                             1                             3                             
Totals:                       415                           153                           153                           127                           127                           280                           

                                                                             Lakewood Question No. 1 (Vote For 1)
                                                            Yes                                                         No                                                          
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Total                         
Lakewood District 01          1236                          26                            26                            322                           322                           348                           
Lakewood District 02          993                           17                            17                            285                           285                           302                           
Lakewood District 03          703                           44                            44                            322                           322                           366                           
Lakewood District 04          1003                          29                            29                            275                           275                           304                           
Lakewood District 05          1045                          26                            26                            416                           416                           442                           
Lakewood District 06          1905                          57                            57                            600                           600                           657                           
Lakewood District 07          1401                          73                            73                            414                           414                           487                           
Lakewood District 08          1122                          54                            54                            338                           338                           392                           
Lakewood District 09          1710                          162                           162                           569                           569                           731                           
Lakewood District 10          1533                          22                            22                            498                           498                           520                           
Lakewood District 11          1249                          18                            18                            411                           411                           429                           
Lakewood District 12          1628                          31                            31                            549                           549                           580                           
Lakewood District 13          1349                          50                            50                            557                           557                           607                           
Lakewood District 14          755                           38                            38                            255                           255                           293                           
Lakewood District 15          2254                          87                            87                            728                           728                           815                           
Lakewood District 16          1613                          35                            35                            569                           569                           604                           
Lakewood District 17          943                           18                            18                            303                           303                           321                           
Lakewood District 18          493                           32                            32                            203                           203                           235                           
Lakewood District 19          492                           46                            46                            196                           196                           242                           
Lakewood District 20          430                           35                            35                            177                           177                           212                           
Lakewood District 21          611                           34                            34                            146                           146                           180                           
Lakewood District 22          813                           40                            40                            242                           242                           282                           
Lakewood District 23          576                           36                            36                            239                           239                           275                           
Lakewood District 24          744                           29                            29                            341                           341                           370                           
Lakewood District 25          1095                          59                            59                            405                           405                           464                           
Lakewood District 26          1086                          24                            24                            411                           411                           435                           
Lakewood District 27          3257                          15                            15                            288                           288                           303                           
Lakewood District 28          530                           27                            27                            289                           289                           316                           
Lakewood District 29          1051                          65                            65                            366                           366                           431                           
Lakewood District 30          606                           12                            12                            354                           354                           366                           
Lakewood District 31          855                           39                            39                            492                           492                           531                           
Lakewood District 32          764                           25                            25                            470                           470                           495                           
Lakewood District 33          962                           37                            37                            587                           587                           624                           
Lakewood District 34          478                           15                            15                            279                           279                           294                           
Lakewood District 35          939                           18                            18                            297                           297                           315                           
Lakewood District 36          762                           3                             3                             224                           224                           227                           
Lakewood District 37          1350                          25                            25                            449                           449                           474                           
Lakewood District 38          615                           14                            14                            387                           387                           401                           
Lakewood District 39          999                           29                            29                            377                           377                           406                           
Lakewood District 40          1310                          22                            22                            380                           380                           402                           
Lakewood District 41          999                           25                            25                            383                           383                           408                           
Lakewood District 42          617                           19                            19                            219                           219                           238                           
Lakewood District 43          849                           108                           108                           259                           259                           367                           
Lakewood Mail-In Ballot       0                             159                           159                           1402                          1402                          1561                          
Lakewood Provisional          0                             28                            28                            140                           140                           168                           
Totals:                       45725                         1807                          1807                          17413                         17413                         19220                         

                                                                             Long Beach Question No. 1 (Vote For 1)
                                                            Yes                                                         No                                                          
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Total                         
Long Beach District 01        1211                          295                           295                           317                           317                           612                           
Long Beach District 02        1180                          247                           247                           325                           325                           572                           
Long Beach District 03        723                           132                           132                           175                           175                           307                           
Long Beach Mail-In Ballot     0                             243                           243                           238                           238                           481                           
Long Beach Provisional        0                             11                            11                            7                             7                             18                            
Totals:                       3114                          928                           928                           1062                          1062                          1990                          

                                                                             Pinelands Regional School District Proposal No. 1 (Vote For 1)
                                                            Yes                                                         No                                                          
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Total                         
Eagleswood District 01        1200                          336                           336                           330                           330                           666                           
Eagleswood Mail-In Ballot     0                             34                            34                            27                            27                            61                            
Eagleswood Provisional        0                             3                             3                             3                             3                             6                             
Little Egg Harbor District 01 748                           235                           235                           201                           201                           436                           
Little Egg Harbor District 02 1150                          397                           397                           290                           290                           687                           
Little Egg Harbor District 03 785                           157                           157                           250                           250                           407                           
Little Egg Harbor District 04 1585                          438                           438                           318                           318                           756                           
Little Egg Harbor District 05 928                           323                           323                           244                           244                           567                           
Little Egg Harbor District 06 972                           275                           275                           269                           269                           544                           
Little Egg Harbor District 07 669                           102                           102                           252                           252                           354                           
Little Egg Harbor District 08 637                           144                           144                           205                           205                           349                           
Little Egg Harbor District 09 1052                          327                           327                           203                           203                           530                           
