




District                      Registered Voters             Ballots Cast                  Voter Turnout                 
Washington District 35        785                           229                           229                           233                           233                           182                           182                           166                           166                           14                            14                            0                             0                             824                           
Washington District 36        488                           119                           119                           110                           110                           122                           122                           104                           104                           7                             7                             0                             0                             462                           
Washington District 37        977                           301                           301                           288                           288                           231                           231                           214                           214                           18                            18                            0                             0                             1052                          
Washington District 38        1296                          392                           392                           369                           369                           297                           297                           274                           274                           20                            20                            7                             7                             1359                          
Washington District 39        929                           258                           258                           253                           253                           220                           220                           194                           194                           14                            14                            2                             2                             941                           
Washington Mail-In Ballot     0                             1532                          1532                          1453                          1453                          1737                          1737                          1623                          1623                          67                            67                            14                            14                            6426                          
Washington Provisional        0                             156                           156                           143                           143                           106                           106                           95                            95                            10                            10                            0                             0                             510                           
Totals:                       36415                         12073                         12073                         11676                         11676                         11180                         11180                         10349                         10349                         662                           662                           31                            31                            45971                         

                                                                                                           Wenonah Council (Vote For 2)
                                                            - WILLIAM NORRIS                                            - PHILIPP E. KAEFERLE                                       Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Wenonah District 1            701                           302                           302                           299                           299                           1                             1                             602                           
Wenonah District 2            645                           271                           271                           295                           295                           5                             5                             571                           
Wenonah District 3            466                           229                           229                           209                           209                           1                             1                             439                           
Wenonah Mail-In Ballot        0                             87                            87                            102                           102                           3                             3                             192                           
Wenonah Provisional           0                             2                             2                             3                             3                             0                             0                             5                             
Totals:                       1812                          891                           891                           908                           908                           10                            10                            1809                          

                                                                             Wenonah Council Unexpired (Vote For 1)
                                                            - DANIEL P. COX                                             Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Total                         
Wenonah District 1            701                           303                           303                           2                             2                             305                           
Wenonah District 2            645                           308                           308                           0                             0                             308                           
Wenonah District 3            466                           214                           214                           0                             0                             214                           
Wenonah Mail-In Ballot        0                             105                           105                           2                             2                             107                           
Wenonah Provisional           0                             4                             4                             0                             0                             4                             
Totals:                       1812                          934                           934                           4                             4                             938                           

                                                                                                                                         West Deptford Township Committee (Vote For 2)
                                                            - JOANN M. PRIGA                                            - JAMES ROBINSON                                            - MEGAN KERR                                                Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
West Deptford District 1      871                           151                           151                           276                           276                           294                           294                           2                             2                             723                           
West Deptford District 2      573                           135                           135                           183                           183                           191                           191                           2                             2                             511                           
West Deptford District 3      740                           204                           204                           259                           259                           286                           286                           1                             1                             750                           
West Deptford District 4      826                           262                           262                           242                           242                           265                           265                           8                             8                             777                           
West Deptford District 5      653                           147                           147                           213                           213                           236                           236                           1                             1                             597                           
West Deptford District 6      493                           145                           145                           181                           181                           189                           189                           3                             3                             518                           
West Deptford District 7      1116                          242                           242                           373                           373                           405                           405                           1                             1                             1021                          
West Deptford District 8      908                           229                           229                           330                           330                           371                           371                           2                             2                             932                           
West Deptford District 9      703                           133                           133                           251                           251                           262                           262                           3                             3                             649                           
West Deptford District 10     649                           144                           144                           223                           223                           248                           248                           3                             3                             618                           
West Deptford District 11     598                           148                           148                           234                           234                           250                           250                           2                             2                             634                           
West Deptford District 12     538                           101                           101                           180                           180                           190                           190                           2                             2                             473                           
West Deptford District 13     1287                          351                           351                           468                           468                           480                           480                           8                             8                             1307                          
West Deptford District 14     1045                          180                           180                           329                           329                           344                           344                           1                             1                             854                           
West Deptford District 15     956                           236                           236                           314                           314                           334                           334                           3                             3                             887                           
West Deptford District 16     847                           228                           228                           256                           256                           259                           259                           1                             1                             744                           
West Deptford District 17     942                           195                           195                           310                           310                           314                           314                           3                             3                             822                           
West Deptford District 18     959                           193                           193                           262                           262                           294                           294                           2                             2                             751                           
West Deptford District 19     1327                          309                           309                           429                           429                           468                           468                           5                             5                             1211                          
West Deptford Mail-In Ballot  0                             517                           517                           946                           946                           1024                          1024                          29                            29                            2516                          
West Deptford Provisional     0                             23                            23                            47                            47                            50                            50                            1                             1                             121                           
Totals:                       16031                         4273                          4273                          6306                          6306                          6754                          6754                          83                            83                            17416                         

                                                                                                                                         Westville Council (Vote For 2)
                                                            - PAUL C. MAILLEY                                           - DONNA J. MOAN                                             - BRIAN WATERS                                              Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Westville District 1          851                           269                           269                           284                           284                           145                           145                           9                             9                             707                           
Westville District 2          1091                          360                           360                           365                           365                           176                           176                           14                            14                            915                           
Westville District 3          816                           282                           282                           297                           297                           112                           112                           4                             4                             695                           
Westville Mail-In Ballot      0                             72                            72                            86                            86                            28                            28                            3                             3                             189                           
Westville Provisional         0                             9                             9                             8                             8                             5                             5                             0                             0                             22                            
Totals:                       2758                          992                           992                           1040                          1040                          466                           466                           30                            30                            2528                          

                                                                                                           Woodbury Mayor (Vote For 1)
                                                            - GEORGE A. GALLENTHIN, III                                 - JESSICA FLOYD                                             Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Woodbury Ward 1 District 1    738                           77                            77                            250                           250                           0                             0                             327                           
Woodbury Ward 1 District 2    532                           107                           107                           196                           196                           1                             1                             304                           
Woodbury Ward 1 District 3    613                           111                           111                           232                           232                           0                             0                             343                           
Woodbury Ward 2 District 1    527                           110                           110                           181                           181                           1                             1                             292                           
Woodbury Ward 2 District 2    572                           30                            30                            230                           230                           0                             0                             260                           
Woodbury Ward 2 District 3    761                           109                           109                           213                           213                           2                             2                             324                           
Woodbury Ward 2 District 4    449                           24                            24                            195                           195                           0                             0                             219                           
Woodbury Ward 3 District 1    637                           170                           170                           181                           181                           7                             7                             358                           
Woodbury Ward 3 District 2    662                           116                           116                           245                           245                           2                             2                             363                           
Woodbury Ward 3 District 3    691                           106                           106                           281                           281                           1                             1                             388                           
Woodbury Ward 3 District 4    496                           72                            72                            211                           211                           0                             0                             283                           
Woodbury Ward 1 Mail-In Ballot0                             30                            30                            64                            64                            1                             1                             95                            
Woodbury Ward 1 Provisional   0                             0                             0                             6                             6                             0                             0                             6                             
Woodbury Ward 2 Mail-In Ballot0                             47                            47                            117                           117                           2                             2                             166                           
Woodbury Ward 2 Provisional   0                             4                             4                             8                             8                             0                             0                             12                            
Woodbury Ward 3 Mail-In Ballot0                             70                            70                            159                           159                           2                             2                             231                           
Woodbury Ward 3 Provisional   0                             4                             4                             14                            14                            0                             0                             18                            
Totals:                       6678                          1187                          1187                          2783                          2783                          19                            19                            3989                          

                                                                                                           Woodbury Council  Ward 1 (Vote For 1)
                                                            - BRIAN C. MATTERN                                          - DANIELLE CARTER                                           Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Woodbury Ward 1 District 1    738                           87                            87                            234                           234                           0                             0                             321                           
Woodbury Ward 1 District 2    532                           114                           114                           187                           187                           0                             0                             301                           
Woodbury Ward 1 District 3    613                           115                           115                           226                           226                           0                             0                             341                           
Woodbury Ward 1 Mail-In Ballot0                             33                            33                            64                            64                            0                             0                             97                            
Woodbury Ward 1 Provisional   0                             0                             0                             6                             6                             0                             0                             6                             
Totals:                       1883                          349                           349                           717                           717                           0                             0                             1066                          

                                                                                                           Woodbury Council  Ward 2 (Vote For 1)
                                                            - BARRY W. DEAR                                             - DAVID TROVATO                                             Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Woodbury Ward 2 District 1    527                           109                           109                           180                           180                           0                             0                             289                           
Woodbury Ward 2 District 2    572                           30                            30                            227                           227                           0                             0                             257                           
Woodbury Ward 2 District 3    761                           108                           108                           203                           203                           1                             1                             312                           
Woodbury Ward 2 District 4    449                           24                            24                            190                           190                           0                             0                             214                           
Woodbury Ward 2 Mail-In Ballot0                             43                            43                            119                           119                           1                             1                             163                           
Woodbury Ward 2 Provisional   0                             2                             2                             8                             8                             0                             0                             10                            
Totals:                       2309                          316                           316                           927                           927                           2                             2                             1245                          

                                                                                                           Woodbury Council  Ward 3 (Vote For 1)
                                                            - HEATHER S. TIERNEY                                        - KENNETH J. MCILVAINE                                      Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Woodbury Ward 3 District 1    637                           263                           263                           108                           108                           1                             1                             372                           
Woodbury Ward 3 District 2    662                           212                           212                           166                           166                           0                             0                             378                           
Woodbury Ward 3 District 3    691                           197                           197                           199                           199                           0                             0                             396                           
Woodbury Ward 3 District 4    496                           114                           114                           174                           174                           0                             0                             288                           
Woodbury Ward 3 Mail-In Ballot0                             116                           116                           113                           113                           3                             3                             232                           
Woodbury Ward 3 Provisional   0                             6                             6                             13                            13                            0                             0                             19                            
Totals:                       2486                          908                           908                           773                           773                           4                             4                             1685                          

                                                                                                                                                                       Woodbury Heights Council (Vote For 2)
                                                            - MARY ORTNER                                               - GARY P. LOGAN                                             - WILLIAM C. PACKER                                         - CARA M. WITASICK                                          Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Woodbury Heights 1            635                           165                           165                           154                           154                           225                           225                           217                           217                           4                             4                             765                           
Woodbury Heights 2            610                           147                           147                           162                           162                           226                           226                           218                           218                           0                             0                             753                           
Woodbury Heights 3            363                           89                            89                            105                           105                           149                           149                           131                           131                           0                             0                             474                           
Woodbury Heights 4            702                           203                           203                           204                           204                           236                           236                           229                           229                           0                             0                             872                           
Woodbury Heights Mail-In Ballot0                             70                            70                            67                            67                            78                            78                            77                            77                            1                             1                             293                           
Woodbury Heights Provisional  0                             2                             2                             1                             1                             0                             0                             1                             1                             0                             0                             4                             
Totals:                       2310                          676                           676                           693                           693                           914                           914                           873                           873                           5                             5                             3161                          

                                                                                                           Woolwich Township Committee (Vote For 1)
                                                            - DAN BATTISTI                                              - GINA MARIE SANTORE                                        Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Woolwich District 1           1388                          420                           420                           358                           358                           0                             0                             778                           
Woolwich District 2           1181                          386                           386                           246                           246                           0                             0                             632                           
Woolwich District 3           665                           233                           233                           140                           140                           1                             1                             374                           
Woolwich District 4           761                           228                           228                           207                           207                           1                             1                             436                           
Woolwich District 5           1266                          350                           350                           348                           348                           0                             0                             698                           
Woolwich District 6           784                           251                           251                           231                           231                           0                             0                             482                           
Woolwich District 7           1156                          260                           260                           306                           306                           1                             1                             567                           
Woolwich District 8           776                           249                           249                           180                           180                           0                             0                             429                           
Woolwich Mail-In Ballot       0                             454                           454                           342                           342                           3                             3                             799                           
Woolwich Provisional          0                             26                            26                            16                            16                            0                             0                             42                            
Totals:                       7977                          2857                          2857                          2374                          2374                          6                             6                             5237                          

                                                                                                                                         Clayton Membership BOE (Vote For 3)
                                                            - CAITLIN WOLAK                                             - SCOTT WERKHEISER                                          - ANTHONY C. GRAFTON                                        Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Clayton District 1            846                           304                           304                           283                           283                           286                           286                           4                             4                             877                           
Clayton District 2            816                           316                           316                           298                           298                           302                           302                           8                             8                             924                           
Clayton District 3            1168                          441                           441                           442                           442                           440                           440                           4                             4                             1327                          
Clayton District 4            1037                          356                           356                           344                           344                           344                           344                           11                            11                            1055                          
Clayton District 5            753                           226                           226                           197                           197                           213                           213                           3                             3                             639                           
Clayton District 6            1008                          375                           375                           359                           359                           363                           363                           9                             9                             1106                          
Clayton Mail-In Ballot        0                             232                           232                           232                           232                           227                           227                           7                             7                             698                           
Clayton Provisional           0                             16                            16                            14                            14                            15                            15                            0                             0                             45                            
Totals:                       5628                          2266                          2266                          2169                          2169                          2190                          2190                          46                            46                            6671                          

                                               Clayton Member BOE Unexp. 2 yr Term (Vote For 1)
                                                            Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Total                         
Clayton District 1            846                           19                            19                            19                            
Clayton District 2            816                           23                            23                            23                            
Clayton District 3            1168                          24                            24                            24                            
Clayton District 4            1037                          26                            26                            26                            
Clayton District 5            753                           7                             7                             7                             
Clayton District 6            1008                          27                            27                            27                            
Clayton Mail-In Ballot        0                             6                             6                             6                             
Clayton Provisional           0                             0                             0                             0                             
Totals:                       5628                          132                           132                           132                           

                                               Clayton Member BOE Unexp. 1yr Term (Vote For 1)
                                                            Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Total                         
Clayton District 1            846                           12                            12                            12                            
